user_id,username,followers,following,total_posts,total_engagements,avg_likes,avg_comments
1239,user_1239,348018,2753,341,5,8089.2000,2277.4000
1256,user_1256,245978,133,564,5,8154.0000,3324.0000
1262,user_1262,839585,3388,512,5,12632.8000,2644.2000
1286,user_1286,231131,4138,771,5,8260.0000,963.8000
1367,user_1367,650832,3459,154,5,7055.4000,2445.4000
1459,user_1459,692931,445,679,5,13349.0000,2312.0000
1462,user_1462,757975,1490,75,5,7570.0000,1939.4000
1487,user_1487,947495,960,546,5,10726.6000,2898.6000
1511,user_1511,925343,3423,476,5,8341.6000,2558.6000
1534,user_1534,769544,3655,730,5,8062.2000,1617.8000
1575,user_1575,619794,4297,896,5,6762.0000,1414.8000
1586,user_1586,70410,2104,323,5,12652.0000,2596.8000
1616,user_1616,275201,4471,949,5,10654.8000,2978.6000
1629,user_1629,631498,2595,228,5,11214.6000,2741.4000
1706,user_1706,241781,4790,933,5,6564.6000,1795.4000
1739,user_1739,632418,2842,141,5,10609.0000,1071.2000
1767,user_1767,101662,2668,954,5,6740.0000,3148.2000
1768,user_1768,476567,3812,832,5,10343.2000,3790.0000
1886,user_1886,46925,4233,426,5,12159.8000,3056.0000
1957,user_1957,176841,3974,956,5,6288.2000,1996.2000
1989,user_1989,539177,3371,281,5,7826.2000,2020.0000
2039,user_2039,128287,3904,122,5,9400.0000,2996.4000
2077,user_2077,247195,2639,76,5,11041.2000,1980.4000
2132,user_2132,467967,4588,763,5,8770.2000,2189.4000
2163,user_2163,852477,1986,984,5,10506.0000,2332.0000
2185,user_2185,134786,2484,462,5,11709.8000,3548.4000
2200,user_2200,805611,1045,779,5,8161.8000,2153.4000
2272,user_2272,774673,4291,606,5,10808.6000,3449.8000
2342,user_2342,353917,4186,583,5,8594.4000,2904.4000
2358,user_2358,416484,900,196,5,9606.2000,2972.2000
2375,user_2375,403154,2634,256,5,12681.2000,3557.2000
2494,user_2494,376752,233,102,5,8006.8000,2626.4000
2592,user_2592,747209,1036,431,5,9918.0000,2957.0000
2633,user_2633,405592,3770,331,5,3219.4000,2137.0000
2635,user_2635,52762,1221,824,5,14055.4000,1752.6000
2665,user_2665,993126,4425,265,5,13144.2000,2545.0000
2696,user_2696,717138,3981,386,5,12549.0000,2175.6000
2717,user_2717,485632,216,973,5,11032.0000,2747.8000
2753,user_2753,239458,4035,808,5,12608.2000,2077.4000
2780,user_2780,883000,4026,781,5,3661.4000,2626.2000
2796,user_2796,305838,1712,247,5,6841.8000,2977.2000
2845,user_2845,410602,333,80,5,9005.4000,2376.4000
2939,user_2939,521933,4732,472,5,11086.0000,2065.8000
3027,user_3027,979113,2063,593,5,10273.2000,2691.8000
3061,user_3061,527941,2295,496,5,11024.0000,3651.6000
3062,user_3062,911806,160,465,5,9465.0000,2238.4000
3079,user_3079,41321,359,993,5,10541.2000,2724.6000
3095,user_3095,336144,4232,526,5,10233.4000,1966.8000
3136,user_3136,67604,4505,647,5,11344.8000,1721.6000
3179,user_3179,408300,2641,511,5,12481.6000,2623.0000
3189,user_3189,48957,4690,270,5,12901.2000,2203.4000
3212,user_3212,497000,4112,726,5,13674.6000,1030.6000
3213,user_3213,565374,1428,472,5,11528.2000,3619.4000
3226,user_3226,887700,2772,928,5,12111.2000,2804.4000
3311,user_3311,513330,1143,265,5,11838.8000,1977.0000
3327,user_3327,281200,2148,117,5,10797.0000,2093.8000
3385,user_3385,500934,4400,742,5,8434.4000,2848.2000
3404,user_3404,23897,3952,204,5,7010.8000,1640.2000
3489,user_3489,432901,335,973,5,11784.6000,2460.4000
3522,user_3522,316427,4794,357,5,2621.6000,2595.0000
3545,user_3545,400985,4615,190,5,15680.2000,1708.6000
3566,user_3566,991503,3068,571,5,13609.2000,3089.6000
3585,user_3585,48637,362,416,5,11799.2000,2195.2000
3759,user_3759,134678,270,197,5,8732.0000,2159.2000
3760,user_3760,720047,2370,348,5,8493.6000,1879.6000
3801,user_3801,697359,3549,396,5,8024.2000,2583.6000
3956,user_3956,241261,2064,725,5,14493.2000,1784.2000
4066,user_4066,589606,354,160,5,6798.2000,1708.8000
4076,user_4076,587409,1156,961,5,15958.2000,2326.6000
4340,user_4340,622296,1926,921,5,13638.4000,2495.0000
4366,user_4366,162013,4378,556,5,11708.8000,3661.8000
4399,user_4399,330562,970,242,5,12119.6000,2901.6000
4523,user_4523,113372,4390,105,5,9007.2000,3277.4000
4576,user_4576,374658,689,79,5,18806.6000,1350.4000
4587,user_4587,82308,4992,767,5,11754.8000,3278.4000
4628,user_4628,273406,1236,376,5,5730.8000,2654.2000
4667,user_4667,353242,2140,314,5,8707.2000,1730.6000
4713,user_4713,1647,2981,455,5,12899.8000,2138.2000
4797,user_4797,88936,681,891,5,9455.2000,1443.4000
4844,user_4844,1959,1563,295,5,9055.2000,3041.0000
4892,user_4892,511399,561,507,5,7790.4000,1915.4000
4996,user_4996,72755,4878,96,5,10652.0000,1792.4000
5,user_5,701904,4470,950,4,12130.0000,1492.2500
22,user_22,841170,3737,355,4,12310.5000,3054.7500
53,user_53,618861,4624,509,4,9414.5000,2463.7500
56,user_56,14232,1619,461,4,6865.5000,2813.2500
66,user_66,591668,3815,426,4,5391.0000,1068.2500
86,user_86,201962,1864,629,4,9554.7500,2875.5000
101,user_101,318928,530,780,4,13027.5000,1720.5000
119,user_119,47916,638,183,4,13517.0000,3288.5000
128,user_128,438170,4923,255,4,8341.2500,2396.2500
133,user_133,707919,1136,853,4,10068.5000,3306.0000
179,user_179,679247,4949,968,4,12406.0000,2123.0000
218,user_218,216400,3288,906,4,5244.2500,1328.7500
230,user_230,802469,4346,111,4,9261.5000,1730.2500
232,user_232,966739,4845,294,4,10217.5000,2785.2500
310,user_310,373382,2451,809,4,7205.0000,1923.0000
365,user_365,809144,2411,323,4,9166.2500,2928.5000
418,user_418,610341,1755,670,4,12324.2500,1643.2500
424,user_424,304860,1958,929,4,13334.5000,1795.2500
428,user_428,841289,1035,383,4,7937.2500,3187.2500
535,user_535,106430,2090,985,4,6956.7500,2595.0000
536,user_536,93167,3190,613,4,12860.7500,2938.0000
557,user_557,601240,651,338,4,12475.0000,1161.2500
561,user_561,183134,3752,310,4,12370.7500,3166.7500
603,user_603,625924,3969,586,4,8360.7500,2102.5000
605,user_605,413135,4261,444,4,8496.2500,1809.2500
616,user_616,987907,4481,526,4,6839.5000,2536.5000
630,user_630,490704,4144,723,4,10021.0000,2516.5000
658,user_658,850152,1054,578,4,9882.2500,2309.0000
660,user_660,541918,4004,768,4,13375.5000,2808.2500
763,user_763,913039,2946,957,4,13479.7500,2180.0000
784,user_784,241513,2398,612,4,13764.5000,3334.5000
817,user_817,849330,4246,757,4,9454.7500,2244.7500
838,user_838,878772,2684,787,4,12256.0000,1418.0000
844,user_844,102029,2131,923,4,5462.0000,2568.2500
862,user_862,934354,2292,884,4,8906.5000,1604.0000
877,user_877,80687,4449,650,4,7278.5000,2194.5000
889,user_889,383064,2638,269,4,12846.7500,2285.7500
893,user_893,67967,2190,182,4,10922.2500,3298.5000
966,user_966,35032,1144,492,4,8084.2500,3560.0000
1002,user_1002,72982,956,641,4,10405.0000,2485.7500
1043,user_1043,474467,4836,307,4,3282.5000,2262.0000
1054,user_1054,208426,526,991,4,10751.5000,3585.2500
1067,user_1067,460665,4391,371,4,11780.0000,3763.0000
1082,user_1082,625747,3163,904,4,11696.7500,2597.5000
1094,user_1094,568320,4687,649,4,7664.5000,4080.0000
1112,user_1112,306781,3476,780,4,12741.7500,977.2500
1133,user_1133,93877,1121,128,4,10531.5000,1743.0000
1153,user_1153,786057,3328,211,4,3929.5000,4093.7500
1171,user_1171,245712,2192,845,4,2711.5000,3177.7500
1207,user_1207,703139,4367,989,4,7578.7500,2349.5000
1223,user_1223,421524,4831,595,4,7876.0000,2411.2500
1236,user_1236,689876,4507,373,4,10436.0000,2512.2500
1349,user_1349,364726,534,471,4,7924.0000,745.0000
1350,user_1350,502530,4582,912,4,7873.7500,2514.7500
1365,user_1365,964356,643,223,4,13653.7500,2688.5000
1390,user_1390,635404,3915,175,4,7489.0000,2911.0000
1446,user_1446,760081,4353,599,4,4593.7500,3608.7500
1469,user_1469,811749,2393,85,4,11711.0000,1358.0000
1506,user_1506,108288,1087,361,4,11272.7500,2557.2500
1568,user_1568,854242,4406,286,4,5968.2500,1594.7500
1619,user_1619,263733,548,775,4,4874.5000,2868.7500
1621,user_1621,493882,1673,887,4,12496.5000,3214.2500
1624,user_1624,592280,2680,522,4,12105.2500,3288.2500
1657,user_1657,753805,2944,392,4,6759.5000,1966.0000
1698,user_1698,139528,3064,661,4,12834.0000,2457.2500
1744,user_1744,196466,2813,425,4,10526.2500,1595.2500
1765,user_1765,313009,3224,76,4,5723.7500,2259.5000
1823,user_1823,821018,856,946,4,14255.0000,1669.7500
1825,user_1825,14359,3638,469,4,7859.5000,1912.0000
1833,user_1833,6594,4072,773,4,5482.0000,2996.5000
1891,user_1891,681205,4022,547,4,7662.0000,2861.2500
1928,user_1928,438579,2067,309,4,15201.5000,3216.2500
1947,user_1947,662758,3029,780,4,11922.2500,3115.2500
1997,user_1997,474702,1646,92,4,9659.2500,2097.2500
1999,user_1999,4911,4702,182,4,9392.2500,2402.2500
2033,user_2033,207632,4521,121,4,6544.2500,2511.5000
2060,user_2060,876568,1106,861,4,11368.0000,1855.5000
2066,user_2066,871489,685,634,4,12758.0000,2593.2500
2084,user_2084,394384,2742,411,4,8816.7500,3835.0000
2115,user_2115,918678,3530,346,4,13236.5000,1814.7500
2197,user_2197,7576,2754,740,4,12794.2500,1877.7500
2251,user_2251,617257,2661,198,4,10209.7500,2106.2500
2310,user_2310,800691,3267,642,4,10345.7500,3536.2500
2359,user_2359,718070,745,380,4,7346.2500,2095.0000
2370,user_2370,152930,1935,53,4,6197.2500,1911.7500
2386,user_2386,967674,1913,502,4,14396.0000,2390.2500
2401,user_2401,105663,4313,735,4,11331.0000,2541.2500
2457,user_2457,28760,1224,557,4,12029.0000,1865.5000
2465,user_2465,683533,4953,443,4,4828.0000,2226.5000
2480,user_2480,529421,1525,272,4,8209.5000,915.7500
2504,user_2504,421175,2171,293,4,7441.2500,2407.0000
2589,user_2589,586578,4473,457,4,11146.0000,1829.0000
2721,user_2721,489505,201,733,4,9014.7500,1517.5000
2739,user_2739,803212,1601,844,4,9076.2500,2819.7500
2755,user_2755,447732,3588,915,4,7121.0000,2691.2500
2777,user_2777,931490,1512,500,4,11364.7500,3454.5000
2875,user_2875,569778,228,240,4,9058.5000,2301.2500
2883,user_2883,655222,4462,868,4,12889.2500,2587.0000
2914,user_2914,414008,4696,984,4,17420.7500,2245.0000
2927,user_2927,797939,3089,660,4,12838.0000,2432.7500
2950,user_2950,777926,2479,777,4,8718.7500,2192.7500
2974,user_2974,976247,4144,472,4,10814.5000,3025.7500
2984,user_2984,329012,773,86,4,14666.2500,3377.2500
2989,user_2989,84996,2007,928,4,10110.5000,1994.7500
2993,user_2993,749635,2976,908,4,7111.0000,3062.0000
3072,user_3072,377386,686,571,4,13123.0000,2190.5000
3110,user_3110,929222,4626,536,4,10490.0000,3151.5000
3117,user_3117,241051,277,577,4,13239.2500,2135.0000
3143,user_3143,848801,2767,596,4,8996.0000,2470.5000
3150,user_3150,813425,4070,236,4,12672.5000,2478.0000
3170,user_3170,916500,1699,668,4,10092.5000,2386.5000
3172,user_3172,140716,4710,414,4,8361.2500,836.5000
3175,user_3175,979204,3998,804,4,13012.7500,1697.0000
3266,user_3266,81240,4974,313,4,11536.2500,2342.5000
3273,user_3273,365909,1499,885,4,17185.5000,3423.5000
3284,user_3284,44404,2359,364,4,11470.0000,2068.7500
3294,user_3294,98878,182,947,4,11503.0000,3471.0000
3295,user_3295,573161,264,725,4,10185.7500,2713.0000
3300,user_3300,577540,337,578,4,11600.0000,1794.7500
3347,user_3347,977324,1602,65,4,7737.2500,1521.0000
3471,user_3471,314057,1530,444,4,10507.5000,2991.2500
3552,user_3552,35930,1247,192,4,11945.2500,2053.2500
3571,user_3571,981117,2430,214,4,9826.2500,3353.2500
3600,user_3600,749247,274,309,4,10558.7500,2513.7500
3621,user_3621,506535,227,152,4,7234.2500,3012.0000
3622,user_3622,203323,3849,391,4,6878.0000,3082.5000
3672,user_3672,71332,3838,776,4,8312.0000,2129.5000
3678,user_3678,78551,3537,949,4,5051.0000,2826.2500
3745,user_3745,273610,1103,646,4,8959.0000,857.5000
3805,user_3805,690163,2790,155,4,10406.7500,2865.7500
3816,user_3816,335212,3504,326,4,12979.2500,2620.2500
3817,user_3817,630304,2789,171,4,11654.7500,2473.7500
3853,user_3853,554752,4075,989,4,9342.7500,3691.7500
3942,user_3942,645767,3460,482,4,12762.2500,3284.0000
3962,user_3962,451955,3700,705,4,10407.7500,1749.0000
3974,user_3974,209136,4509,601,4,12780.2500,1770.0000
3993,user_3993,214853,4813,463,4,11044.5000,1018.0000
4072,user_4072,89934,4582,537,4,10290.5000,3250.0000
4078,user_4078,534728,1638,241,4,9000.5000,1194.2500
4141,user_4141,348354,4361,84,4,8113.7500,2024.7500
4182,user_4182,880454,629,131,4,12240.7500,3334.2500
4214,user_4214,806043,3325,420,4,11922.5000,2420.2500
4233,user_4233,26161,532,383,4,6991.2500,3169.2500
4276,user_4276,364464,3039,493,4,9230.5000,3404.0000
4295,user_4295,840369,457,491,4,9742.2500,2277.2500
4323,user_4323,503031,1340,981,4,5786.5000,2828.2500
4354,user_4354,989688,3313,573,4,7984.2500,2705.7500
4411,user_4411,10932,3520,314,4,12161.7500,3393.2500
4423,user_4423,660596,940,781,4,9225.5000,3019.5000
4431,user_4431,927192,902,97,4,6624.5000,1510.0000
4532,user_4532,107340,3086,267,4,12914.2500,3930.0000
4591,user_4591,787717,1245,379,4,7213.2500,2691.7500
4671,user_4671,670364,3646,903,4,13472.2500,3218.5000
4701,user_4701,826602,2137,352,4,7847.2500,646.2500
4710,user_4710,744307,3711,240,4,10584.7500,2464.0000
4765,user_4765,533708,3273,801,4,9768.0000,2031.2500
4796,user_4796,626431,2636,526,4,11050.0000,3789.2500
4813,user_4813,593390,700,545,4,11706.5000,1599.0000
4831,user_4831,90735,3457,238,4,9247.5000,2587.7500
4848,user_4848,333205,3102,468,4,13720.5000,2626.2500
4912,user_4912,130114,2630,119,4,10254.5000,2562.2500
4913,user_4913,908639,4466,139,4,6939.5000,1816.5000
4963,user_4963,509827,2591,579,4,10368.7500,2893.5000
4972,user_4972,692835,4473,812,4,7387.5000,2124.2500
91,user_91,718449,1731,329,3,6563.6667,2193.6667
96,user_96,798552,2414,508,3,10572.6667,2187.6667
146,user_146,904997,4589,511,3,16258.0000,1426.6667
173,user_173,27478,1898,330,3,10053.6667,3607.3333
208,user_208,433854,1622,148,3,11363.0000,3353.0000
238,user_238,456272,3169,803,3,6572.6667,4310.6667
247,user_247,562281,2397,974,3,8718.3333,2897.6667
269,user_269,785340,3585,763,3,10409.3333,2532.3333
315,user_315,321769,4929,659,3,13594.3333,2417.3333
391,user_391,437567,1651,565,3,14591.3333,1457.0000
461,user_461,146851,1816,385,3,12001.0000,1369.6667
494,user_494,387854,1995,199,3,12878.0000,3546.6667
552,user_552,483280,1238,687,3,13184.6667,2370.3333
586,user_586,461111,4930,240,3,9832.6667,3344.0000
639,user_639,134103,772,93,3,8132.6667,1897.6667
656,user_656,429614,4047,234,3,15064.3333,4682.3333
710,user_710,318595,2731,906,3,10445.3333,2442.6667
712,user_712,967280,1725,311,3,16658.0000,1937.3333
721,user_721,879300,2840,533,3,7666.3333,3409.3333
741,user_741,327217,2900,812,3,10442.3333,4007.0000
759,user_759,805935,1782,632,3,12735.0000,2148.6667
797,user_797,804919,3511,881,3,10613.3333,1454.6667
806,user_806,387413,4184,727,3,9042.6667,2895.3333
825,user_825,869581,3114,789,3,6221.6667,3241.0000
860,user_860,790448,1604,289,3,13424.0000,2230.6667
888,user_888,823324,3844,483,3,4970.0000,3064.6667
890,user_890,645238,4136,141,3,10326.0000,3230.0000
906,user_906,286714,664,639,3,10139.3333,3343.3333
924,user_924,287519,1279,969,3,4173.3333,2870.3333
938,user_938,32568,4463,169,3,5004.0000,2217.0000
947,user_947,704148,370,542,3,13648.0000,1449.0000
974,user_974,132057,3020,864,3,11754.3333,2050.6667
1020,user_1020,93072,387,633,3,11480.3333,2574.0000
1130,user_1130,902678,2578,92,3,15422.6667,3128.6667
1157,user_1157,421406,1343,362,3,12136.0000,1437.3333
1172,user_1172,98732,3196,960,3,11698.0000,3117.0000
1178,user_1178,516723,1517,870,3,4216.6667,1086.6667
1195,user_1195,781694,4076,358,3,9917.0000,3011.3333
1200,user_1200,110686,4205,855,3,5557.3333,930.0000
1224,user_1224,59489,1357,754,3,9249.6667,2432.6667
1280,user_1280,215026,3427,657,3,13934.6667,2721.3333
1284,user_1284,105687,2611,557,3,2653.6667,1002.0000
1290,user_1290,390088,1238,786,3,13857.3333,2660.3333
1301,user_1301,417103,4648,51,3,14796.6667,2633.3333
1311,user_1311,219221,2038,922,3,5958.6667,3214.3333
1357,user_1357,607006,4995,108,3,5474.0000,3855.6667
1360,user_1360,684497,754,57,3,15895.3333,2767.0000
1376,user_1376,245665,4976,962,3,8950.6667,2828.6667
1381,user_1381,920332,2240,334,3,5945.0000,2823.6667
1404,user_1404,640643,3608,459,3,14864.0000,3090.3333
1410,user_1410,592620,4461,484,3,9832.3333,2597.3333
1412,user_1412,106940,2596,77,3,6807.6667,914.3333
1429,user_1429,766982,419,398,3,7849.0000,4041.6667
1434,user_1434,857777,3867,641,3,10645.0000,4586.0000
1444,user_1444,952363,2847,621,3,11493.3333,2923.6667
1445,user_1445,342757,4482,897,3,9655.3333,1861.0000
1451,user_1451,405764,4527,830,3,5730.6667,2792.3333
1454,user_1454,901115,2099,685,3,10008.6667,3170.3333
1470,user_1470,870063,4057,235,3,10317.3333,2695.3333
1478,user_1478,528596,1412,68,3,9685.6667,2025.3333
1479,user_1479,889311,3170,804,3,11371.6667,2267.0000
1516,user_1516,442042,3878,965,3,7067.3333,2065.0000
1589,user_1589,503246,1664,635,3,4210.0000,2826.3333
1622,user_1622,80884,1288,322,3,12047.0000,1249.6667
1663,user_1663,619918,4647,664,3,11596.0000,2196.6667
1675,user_1675,604201,4638,804,3,8262.3333,3290.6667
1719,user_1719,804167,3921,605,3,10513.0000,2470.3333
1724,user_1724,946911,2008,878,3,9109.0000,2368.6667
1751,user_1751,847172,377,725,3,12413.6667,2601.0000
1773,user_1773,180579,3327,955,3,14293.0000,1888.3333
1787,user_1787,154314,703,767,3,15096.6667,2642.0000
1817,user_1817,235776,303,355,3,12944.3333,2729.0000
1831,user_1831,857083,2069,381,3,5558.3333,1321.6667
1916,user_1916,315677,2756,556,3,17646.3333,3119.0000
1945,user_1945,785193,2730,254,3,8399.6667,2068.3333
1951,user_1951,757724,1955,699,3,7404.0000,2911.3333
2021,user_2021,358399,3745,281,3,5585.6667,2134.3333
2062,user_2062,724404,3786,245,3,13434.6667,1633.0000
2080,user_2080,553511,279,159,3,12142.6667,2925.3333
2093,user_2093,16394,4820,169,3,5508.0000,2944.3333
2108,user_2108,130587,3584,641,3,12990.0000,1910.0000
2114,user_2114,295772,3324,420,3,9069.0000,3782.3333
2128,user_2128,516693,4092,867,3,12721.3333,2669.3333
2134,user_2134,719962,664,162,3,11903.0000,1585.0000
2137,user_2137,825767,546,248,3,8150.6667,2860.3333
2169,user_2169,472863,2980,831,3,10940.6667,2653.6667
2178,user_2178,235894,2990,525,3,15377.0000,3281.3333
2184,user_2184,593056,207,711,3,7087.0000,2936.6667
2187,user_2187,386359,1823,71,3,8772.3333,2813.6667
2188,user_2188,981115,2815,190,3,13574.0000,2172.6667
2191,user_2191,643755,187,803,3,9761.0000,1837.3333
2217,user_2217,965430,407,777,3,9691.6667,2386.0000
2254,user_2254,757951,1212,140,3,11892.3333,3783.6667
2255,user_2255,211398,3202,347,3,14039.3333,2576.0000
2289,user_2289,184392,2606,619,3,6803.3333,3987.6667
2485,user_2485,734742,2370,221,3,11368.0000,1365.6667
2493,user_2493,538616,2051,198,3,10926.0000,2106.6667
2525,user_2525,981021,2503,917,3,8380.6667,2053.6667
2565,user_2565,794377,4441,74,3,10930.3333,1865.3333
2566,user_2566,345328,2311,948,3,7731.0000,2147.3333
2610,user_2610,321128,4064,439,3,13955.0000,2771.3333
2679,user_2679,322489,2815,728,3,5449.0000,1254.0000
2682,user_2682,536839,1736,823,3,10339.0000,2175.6667
2714,user_2714,510584,3529,252,3,6977.6667,2018.0000
2732,user_2732,261609,4484,75,3,11661.0000,2929.3333
2744,user_2744,951501,4673,146,3,6496.6667,3112.0000
2751,user_2751,548494,4519,624,3,13947.3333,3206.6667
